"iso3","date","recovered","soc_dist","mov_rest","pub_health","gcmr_retail_recreation","gcmr_grocery_pharmacy","gcmr_transit_stations","gcmr_workplaces","gcmr_residential"
"GBR",2020-01-22,0,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-01-23,0,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-01-24,0,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-01-25,0,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-01-26,0,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-01-27,0,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-01-28,0,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-01-29,0,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-01-30,0,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-01-31,0,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-02-01,0,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-02-02,0,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-02-03,0,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-02-04,0,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-02-05,0,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-02-06,0,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-02-07,0,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-02-08,0,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-02-09,0,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-02-10,0,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-02-11,0,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-02-12,1,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-02-13,1,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-02-14,1,0,0,0,NA,NA,NA,NA,NA
"GBR",2020-02-15,1,0,0,0,-12,-7,-12,-4,2
"GBR",2020-02-16,8,0,0,0,-7,-6,-7,-3,1
"GBR",2020-02-17,8,0,0,0,10,1,-2,-14,2
"GBR",2020-02-18,8,0,0,0,7,-1,-3,-14,2
"GBR",2020-02-19,8,0,0,0,6,-2,-4,-14,3
"GBR",2020-02-20,8,0,0,0,5,-2,-5,-14,3
"GBR",2020-02-21,8,0,0,0,5,-1,-3,-15,3
"GBR",2020-02-22,8,0,0,0,-4,-2,-2,-2,1
"GBR",2020-02-23,8,0,0,0,-1,-2,3,-1,0
"GBR",2020-02-24,8,0,0,0,-3,-1,-2,-2,1
"GBR",2020-02-25,8,0,0,0,-1,4,1,1,0
"GBR",2020-02-26,8,0,0,0,1,0,-1,1,0
"GBR",2020-02-27,8,0,0,0,2,1,0,0,0
"GBR",2020-02-28,8,0,0,0,1,1,0,-1,1
"GBR",2020-02-29,8,0,0,0,1,1,-2,0,0
"GBR",2020-03-01,8,0,0,0,7,2,5,1,-1
"GBR",2020-03-02,8,0,0,0,4,4,0,1,0
"GBR",2020-03-03,8,0,0,0,2,3,-1,1,0
"GBR",2020-03-04,8,0,0,0,2,3,-2,1,1
"GBR",2020-03-05,8,0,0,0,-1,2,-3,0,1
"GBR",2020-03-06,8,0,0,0,5,6,1,1,0
"GBR",2020-03-07,18,0,0,0,0,2,-1,1,0
"GBR",2020-03-08,18,0,0,0,4,2,2,1,-1
"GBR",2020-03-09,18,0,0,0,0,4,-3,0,1
"GBR",2020-03-10,19,0,0,0,-2,5,-4,0,1
"GBR",2020-03-11,19,0,0,1,0,5,-6,0,1
"GBR",2020-03-12,19,0,0,1,-1,11,-8,-1,2
"GBR",2020-03-13,19,0,0,1,-2,11,-9,-4,2
"GBR",2020-03-14,19,0,0,1,-10,7,-15,-2,2
"GBR",2020-03-15,19,0,0,1,-11,7,-16,-4,2
"GBR",2020-03-16,21,3,0,3,-3,20,-16,-9,4
"GBR",2020-03-17,53,3,0,3,-15,21,-27,-16,7
"GBR",2020-03-18,67,3,0,4,-21,22,-34,-23,10
"GBR",2020-03-19,67,3,0,4,-21,24,-37,-27,11
